transaction_id,account_id,bank,account_type,timestamp,date,merchant_raw,merchant,category,amount_sar,direction,currency
TXN-1044,ACC-ALINMA-001,Alinma Bank,Current,2025-06-23 12:39,2025-06-23,STARBUCKS  RIYADH SA,Starbucks,Food & Dining,27.12,debit,SAR
TXN-1048,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-24 02:08,2025-06-24,JARIR BOOKSTORE  RIYADH SA,Jarir Bookstore,Shopping,447.26,debit,SAR
TXN-1046,ACC-SNB-003,Saudi National Bank,Savings,2025-06-24 03:30,2025-06-24,KUDU  RIYADH SA,Kudu,Food & Dining,61.84,debit,SAR
TXN-1045,ACC-SNB-003,Saudi National Bank,Savings,2025-06-24 08:51,2025-06-24,NETFLIX  RIYADH SA,Netflix,Entertainment,53.55,debit,SAR
TXN-1047,ACC-ALINMA-001,Alinma Bank,Current,2025-06-24 09:29,2025-06-24,TAMIMI MARKETS  RIYADH SA,Tamimi Markets,Groceries,117.99,debit,SAR
TXN-1050,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-26 00:33,2025-06-26,HERFY  RIYADH SA,Herfy,Food & Dining,28.68,debit,SAR
TXN-1049,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-26 12:42,2025-06-26,IKEA  RIYADH SA,IKEA,Shopping,597.03,debit,SAR
TXN-1051,ACC-ALINMA-001,Alinma Bank,Current,2025-06-27 03:01,2025-06-27,DANUBE  RIYADH SA,Danube,Groceries,417.42,debit,SAR
TXN-1052,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-27 07:16,2025-06-27,STARBUCKS  RIYADH SA,Starbucks,Food & Dining,38.62,debit,SAR
TXN-1053,ACC-SNB-003,Saudi National Bank,Savings,2025-06-27 08:57,2025-06-27,DANUBE  RIYADH SA,Danube,Groceries,141.93,debit,SAR
TXN-1000,ACC-ALINMA-001,Alinma Bank,Current,2025-06-27 14:00,2025-06-27,SALARY CREDIT  RIYADH SA,Salary Credit,Income,11485.75,credit,SAR
TXN-1055,ACC-SNB-003,Saudi National Bank,Savings,2025-06-28 02:38,2025-06-28,AL BAIK  RIYADH SA,Al Baik,Food & Dining,64.28,debit,SAR
TXN-1054,ACC-SNB-003,Saudi National Bank,Savings,2025-06-28 13:08,2025-06-28,CENTREPOINT  RIYADH SA,Centrepoint,Shopping,228.81,debit,SAR
TXN-1058,ACC-SNB-003,Saudi National Bank,Savings,2025-06-30 00:32,2025-06-30,STARBUCKS  RIYADH SA,Starbucks,Food & Dining,25.48,debit,SAR
TXN-1057,ACC-SNB-003,Saudi National Bank,Savings,2025-06-30 00:56,2025-06-30,PETROMIN  RIYADH SA,Petromin,Transport,145.19,debit,SAR
TXN-1056,ACC-ALINMA-001,Alinma Bank,Current,2025-06-30 07:43,2025-06-30,KUDU  RIYADH SA,Kudu,Food & Dining,49.48,debit,SAR
TXN-1060,ACC-SNB-003,Saudi National Bank,Savings,2025-07-01 12:32,2025-07-01,DUNKIN  RIYADH SA,Dunkin,Food & Dining,25.4,debit,SAR
TXN-1059,ACC-ALINMA-001,Alinma Bank,Current,2025-07-01 13:38,2025-07-01,JARIR BOOKSTORE  RIYADH SA,Jarir Bookstore,Shopping,291.0,debit,SAR
TXN-1061,ACC-SNB-003,Saudi National Bank,Savings,2025-07-02 03:53,2025-07-02,ADNOC STATION  RIYADH SA,ADNOC Station,Transport,170.73,debit,SAR
TXN-1063,ACC-SNB-003,Saudi National Bank,Savings,2025-07-02 06:50,2025-07-02,KUDU  RIYADH SA,Kudu,Food & Dining,37.44,debit,SAR
TXN-1062,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-02 07:04,2025-07-02,KUDU  RIYADH SA,Kudu,Food & Dining,43.73,debit,SAR
TXN-1064,ACC-ALINMA-001,Alinma Bank,Current,2025-07-02 08:09,2025-07-02,AMC CINEMAS  RIYADH SA,AMC Cinemas,Entertainment,143.95,debit,SAR
TXN-1065,ACC-ALINMA-001,Alinma Bank,Current,2025-07-03 00:25,2025-07-03,DR SULAIMAN AL HABIB  RIYADH SA,Dr Sulaiman Al Habib,Health,710.01,debit,SAR
TXN-1068,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-03 21:24,2025-07-03,MAESTRO PIZZA  RIYADH SA,Maestro Pizza,Food & Dining,64.23,debit,SAR
TXN-1067,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-03 23:46,2025-07-03,DANUBE  RIYADH SA,Danube,Groceries,248.38,debit,SAR
TXN-1066,ACC-ALINMA-001,Alinma Bank,Current,2025-07-04 10:32,2025-07-04,DR SULAIMAN AL HABIB  RIYADH SA,Dr Sulaiman Al Habib,Health,271.1,debit,SAR
TXN-1070,ACC-ALINMA-001,Alinma Bank,Current,2025-07-05 02:17,2025-07-05,DUNKIN  RIYADH SA,Dunkin,Food & Dining,15.91,debit,SAR
TXN-1069,ACC-SNB-003,Saudi National Bank,Savings,2025-07-05 04:56,2025-07-05,PANDA HYPERMARKET  RIYADH SA,Panda Hypermarket,Groceries,107.08,debit,SAR
TXN-1072,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-06 02:27,2025-07-06,JARIR BOOKSTORE  RIYADH SA,Jarir Bookstore,Shopping,199.88,debit,SAR
TXN-1073,ACC-ALINMA-001,Alinma Bank,Current,2025-07-06 05:05,2025-07-06,AL BAIK  RIYADH SA,Al Baik,Food & Dining,53.55,debit,SAR
TXN-1071,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-06 13:36,2025-07-06,BOULEVARD RIYADH  RIYADH SA,Boulevard Riyadh,Entertainment,137.13,debit,SAR
TXN-1075,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-06 22:33,2025-07-06,WHITES PHARMACY  RIYADH SA,Whites Pharmacy,Health,123.26,debit,SAR
TXN-1074,ACC-ALINMA-001,Alinma Bank,Current,2025-07-07 07:35,2025-07-07,KUDU  RIYADH SA,Kudu,Food & Dining,45.88,debit,SAR
TXN-1078,ACC-SNB-003,Saudi National Bank,Savings,2025-07-07 21:16,2025-07-07,ADNOC STATION  RIYADH SA,ADNOC Station,Transport,101.64,debit,SAR
TXN-1076,ACC-ALINMA-001,Alinma Bank,Current,2025-07-08 03:59,2025-07-08,WHITES PHARMACY  RIYADH SA,Whites Pharmacy,Health,37.56,debit,SAR
TXN-1077,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-08 06:28,2025-07-08,SAPTCO  RIYADH SA,SAPTCO,Transport,28.99,debit,SAR
TXN-1079,ACC-ALINMA-001,Alinma Bank,Current,2025-07-11 00:42,2025-07-11,STC  RIYADH SA,STC,Utilities,333.6,debit,SAR
TXN-1080,ACC-SNB-003,Saudi National Bank,Savings,2025-07-11 09:32,2025-07-11,CARREFOUR  RIYADH SA,Carrefour,Groceries,279.23,debit,SAR
TXN-1081,ACC-ALINMA-001,Alinma Bank,Current,2025-07-12 01:25,2025-07-12,WHITES PHARMACY  RIYADH SA,Whites Pharmacy,Health,59.79,debit,SAR
TXN-1084,ACC-ALINMA-001,Alinma Bank,Current,2025-07-13 02:17,2025-07-13,UBER  RIYADH SA,Uber,Transport,41.89,debit,SAR
TXN-1082,ACC-ALINMA-001,Alinma Bank,Current,2025-07-13 05:27,2025-07-13,VOX CINEMAS  RIYADH SA,VOX Cinemas,Entertainment,51.72,debit,SAR
TXN-1083,ACC-ALINMA-001,Alinma Bank,Current,2025-07-13 06:38,2025-07-13,SECTION B COFFEE  RIYADH SA,Section B Coffee,Food & Dining,50.73,debit,SAR
TXN-1085,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-13 07:15,2025-07-13,THE CHEESECAKE FACTORY  RIYADH SA,The Cheesecake Factory,Food & Dining,215.03,debit,SAR
TXN-1087,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-14 21:05,2025-07-14,STC  RIYADH SA,STC,Utilities,161.29,debit,SAR
TXN-1088,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-14 22:25,2025-07-14,IKEA  RIYADH SA,IKEA,Shopping,431.62,debit,SAR
TXN-1086,ACC-ALINMA-001,Alinma Bank,Current,2025-07-14 23:30,2025-07-14,PANDA HYPERMARKET  RIYADH SA,Panda Hypermarket,Groceries,160.48,debit,SAR
TXN-1089,ACC-ALINMA-001,Alinma Bank,Current,2025-07-17 09:48,2025-07-17,HERFY  RIYADH SA,Herfy,Food & Dining,49.04,debit,SAR
TXN-1090,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-18 13:40,2025-07-18,HERFY  RIYADH SA,Herfy,Food & Dining,29.4,debit,SAR
TXN-1092,ACC-ALINMA-001,Alinma Bank,Current,2025-07-19 04:05,2025-07-19,SPOTIFY  RIYADH SA,Spotify,Entertainment,19.38,debit,SAR
TXN-1091,ACC-SNB-003,Saudi National Bank,Savings,2025-07-19 13:36,2025-07-19,IKEA  RIYADH SA,IKEA,Shopping,829.71,debit,SAR
TXN-1093,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-20 22:40,2025-07-20,FITNESS TIME  RIYADH SA,Fitness Time,Health,383.72,debit,SAR
TXN-1094,ACC-ALINMA-001,Alinma Bank,Current,2025-07-22 23:47,2025-07-22,SAUDI ELECTRICITY CO  RIYADH SA,Saudi Electricity Co,Utilities,381.06,debit,SAR
TXN-1095,ACC-SNB-003,Saudi National Bank,Savings,2025-07-22 23:47,2025-07-22,VOX CINEMAS  RIYADH SA,VOX Cinemas,Entertainment,107.63,debit,SAR
TXN-1098,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-24 03:04,2025-07-24,BOULEVARD RIYADH  RIYADH SA,Boulevard Riyadh,Entertainment,205.72,debit,SAR
TXN-1096,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-24 03:14,2025-07-24,EXTRA STORES  RIYADH SA,Extra Stores,Shopping,505.22,debit,SAR
TXN-1097,ACC-SNB-003,Saudi National Bank,Savings,2025-07-24 09:04,2025-07-24,PETROMIN  RIYADH SA,Petromin,Transport,111.8,debit,SAR
TXN-1100,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-25 00:44,2025-07-25,DUNKIN  RIYADH SA,Dunkin,Food & Dining,37.37,debit,SAR
TXN-1099,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-25 01:00,2025-07-25,DUNKIN  RIYADH SA,Dunkin,Food & Dining,29.29,debit,SAR
TXN-1101,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-26 11:29,2025-07-26,OTHAIM MARKETS  RIYADH SA,Othaim Markets,Groceries,132.82,debit,SAR
TXN-1102,ACC-SNB-003,Saudi National Bank,Savings,2025-07-26 21:18,2025-07-26,KUDU  RIYADH SA,Kudu,Food & Dining,62.77,debit,SAR
TXN-1103,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-27 09:13,2025-07-27,MAESTRO PIZZA  RIYADH SA,Maestro Pizza,Food & Dining,94.67,debit,SAR
TXN-1104,ACC-ALINMA-001,Alinma Bank,Current,2025-07-27 13:16,2025-07-27,KUDU  RIYADH SA,Kudu,Food & Dining,34.96,debit,SAR
TXN-1001,ACC-ALINMA-001,Alinma Bank,Current,2025-07-27 14:00,2025-07-27,SALARY CREDIT  RIYADH SA,Salary Credit,Income,11226.27,credit,SAR
TXN-1108,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-27 21:20,2025-07-27,PANDA HYPERMARKET  RIYADH SA,Panda Hypermarket,Groceries,281.66,debit,SAR
TXN-1105,ACC-ALINMA-001,Alinma Bank,Current,2025-07-28 00:45,2025-07-28,SAPTCO  RIYADH SA,SAPTCO,Transport,16.99,debit,SAR
TXN-1107,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-28 01:26,2025-07-28,PETROMIN  RIYADH SA,Petromin,Transport,89.72,debit,SAR
TXN-1106,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-28 02:00,2025-07-28,MAESTRO PIZZA  RIYADH SA,Maestro Pizza,Food & Dining,61.67,debit,SAR
TXN-1111,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-28 22:53,2025-07-28,JARIR BOOKSTORE  RIYADH SA,Jarir Bookstore,Shopping,200.75,debit,SAR
TXN-1110,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-28 23:23,2025-07-28,SECTION B COFFEE  RIYADH SA,Section B Coffee,Food & Dining,54.96,debit,SAR
TXN-1109,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-29 06:16,2025-07-29,STARBUCKS  RIYADH SA,Starbucks,Food & Dining,37.25,debit,SAR
TXN-1112,ACC-SNB-003,Saudi National Bank,Savings,2025-07-30 10:32,2025-07-30,DR SULAIMAN AL HABIB  RIYADH SA,Dr Sulaiman Al Habib,Health,878.28,debit,SAR
TXN-1113,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-30 10:56,2025-07-30,THE CHEESECAKE FACTORY  RIYADH SA,The Cheesecake Factory,Food & Dining,192.07,debit,SAR
TXN-1114,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-07-31 23:03,2025-07-31,SPOTIFY  RIYADH SA,Spotify,Entertainment,17.39,debit,SAR
TXN-1115,ACC-SNB-003,Saudi National Bank,Savings,2025-08-01 06:31,2025-08-01,OTHAIM MARKETS  RIYADH SA,Othaim Markets,Groceries,235.59,debit,SAR
TXN-1116,ACC-ALINMA-001,Alinma Bank,Current,2025-08-01 12:26,2025-08-01,SPOTIFY  RIYADH SA,Spotify,Entertainment,14.02,debit,SAR
TXN-1118,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-02 02:04,2025-08-02,PETROMIN  RIYADH SA,Petromin,Transport,68.77,debit,SAR
TXN-1117,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-02 04:19,2025-08-02,DUNKIN  RIYADH SA,Dunkin,Food & Dining,24.34,debit,SAR
TXN-1119,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-03 11:27,2025-08-03,PETROMIN  RIYADH SA,Petromin,Transport,159.22,debit,SAR
TXN-1120,ACC-ALINMA-001,Alinma Bank,Current,2025-08-03 23:20,2025-08-03,HERFY  RIYADH SA,Herfy,Food & Dining,38.94,debit,SAR
TXN-1121,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-05 10:24,2025-08-05,IKEA  RIYADH SA,IKEA,Shopping,812.06,debit,SAR
TXN-1122,ACC-SNB-003,Saudi National Bank,Savings,2025-08-05 22:31,2025-08-05,DUNKIN  RIYADH SA,Dunkin,Food & Dining,22.78,debit,SAR
TXN-1123,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-06 13:33,2025-08-06,ADNOC STATION  RIYADH SA,ADNOC Station,Transport,75.1,debit,SAR
TXN-1125,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-07 10:45,2025-08-07,VOX CINEMAS  RIYADH SA,VOX Cinemas,Entertainment,57.09,debit,SAR
TXN-1124,ACC-ALINMA-001,Alinma Bank,Current,2025-08-07 11:27,2025-08-07,STARBUCKS  RIYADH SA,Starbucks,Food & Dining,28.38,debit,SAR
TXN-1127,ACC-SNB-003,Saudi National Bank,Savings,2025-08-08 00:14,2025-08-08,NETFLIX  RIYADH SA,Netflix,Entertainment,35.71,debit,SAR
TXN-1126,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-08 09:59,2025-08-08,FITNESS TIME  RIYADH SA,Fitness Time,Health,199.04,debit,SAR
TXN-1128,ACC-ALINMA-001,Alinma Bank,Current,2025-08-08 11:05,2025-08-08,KUDU  RIYADH SA,Kudu,Food & Dining,62.95,debit,SAR
TXN-1129,ACC-ALINMA-001,Alinma Bank,Current,2025-08-08 22:41,2025-08-08,HERFY  RIYADH SA,Herfy,Food & Dining,35.44,debit,SAR
TXN-1130,ACC-SNB-003,Saudi National Bank,Savings,2025-08-09 13:40,2025-08-09,DANUBE  RIYADH SA,Danube,Groceries,345.53,debit,SAR
TXN-1131,ACC-ALINMA-001,Alinma Bank,Current,2025-08-10 03:24,2025-08-10,DUNKIN  RIYADH SA,Dunkin,Food & Dining,27.06,debit,SAR
TXN-1132,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-10 06:29,2025-08-10,AL BAIK  RIYADH SA,Al Baik,Food & Dining,25.47,debit,SAR
TXN-1133,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-11 04:35,2025-08-11,CAREEM  RIYADH SA,Careem,Transport,39.29,debit,SAR
TXN-1134,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-12 03:31,2025-08-12,EXTRA STORES  RIYADH SA,Extra Stores,Shopping,271.9,debit,SAR
TXN-1136,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-13 10:23,2025-08-13,AL BAIK  RIYADH SA,Al Baik,Food & Dining,56.31,debit,SAR
TXN-1135,ACC-SNB-003,Saudi National Bank,Savings,2025-08-13 10:59,2025-08-13,TAMIMI MARKETS  RIYADH SA,Tamimi Markets,Groceries,155.38,debit,SAR
TXN-1137,ACC-SNB-003,Saudi National Bank,Savings,2025-08-13 13:04,2025-08-13,PANDA HYPERMARKET  RIYADH SA,Panda Hypermarket,Groceries,271.3,debit,SAR
TXN-1138,ACC-ALINMA-001,Alinma Bank,Current,2025-08-14 04:16,2025-08-14,DANUBE  RIYADH SA,Danube,Groceries,203.09,debit,SAR
TXN-1141,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-15 01:26,2025-08-15,AL BAIK  RIYADH SA,Al Baik,Food & Dining,68.84,debit,SAR
TXN-1140,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-15 01:59,2025-08-15,VOX CINEMAS  RIYADH SA,VOX Cinemas,Entertainment,135.13,debit,SAR
TXN-1139,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-15 04:31,2025-08-15,MAESTRO PIZZA  RIYADH SA,Maestro Pizza,Food & Dining,73.56,debit,SAR
TXN-1142,ACC-SNB-003,Saudi National Bank,Savings,2025-08-18 02:21,2025-08-18,VOX CINEMAS  RIYADH SA,VOX Cinemas,Entertainment,139.77,debit,SAR
TXN-1143,ACC-ALINMA-001,Alinma Bank,Current,2025-08-18 09:53,2025-08-18,MAESTRO PIZZA  RIYADH SA,Maestro Pizza,Food & Dining,41.75,debit,SAR
TXN-1145,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-19 03:24,2025-08-19,PANDA HYPERMARKET  RIYADH SA,Panda Hypermarket,Groceries,214.67,debit,SAR
TXN-1144,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-19 05:05,2025-08-19,SAUDI ELECTRICITY CO  RIYADH SA,Saudi Electricity Co,Utilities,181.26,debit,SAR
TXN-1147,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-20 08:47,2025-08-20,PETROMIN  RIYADH SA,Petromin,Transport,77.2,debit,SAR
TXN-1146,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-20 12:12,2025-08-20,NETFLIX  RIYADH SA,Netflix,Entertainment,31.37,debit,SAR
TXN-1149,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-20 22:16,2025-08-20,KUDU  RIYADH SA,Kudu,Food & Dining,58.12,debit,SAR
TXN-1150,ACC-ALINMA-001,Alinma Bank,Current,2025-08-21 05:21,2025-08-21,CENTREPOINT  RIYADH SA,Centrepoint,Shopping,201.89,debit,SAR
TXN-1148,ACC-ALINMA-001,Alinma Bank,Current,2025-08-21 09:02,2025-08-21,CAREEM  RIYADH SA,Careem,Transport,55.78,debit,SAR
TXN-1152,ACC-SNB-003,Saudi National Bank,Savings,2025-08-21 23:01,2025-08-21,H&M  RIYADH SA,H&M,Shopping,297.16,debit,SAR
TXN-1151,ACC-SNB-003,Saudi National Bank,Savings,2025-08-22 06:00,2025-08-22,THE CHEESECAKE FACTORY  RIYADH SA,The Cheesecake Factory,Food & Dining,210.15,debit,SAR
TXN-1153,ACC-ALINMA-001,Alinma Bank,Current,2025-08-22 09:50,2025-08-22,MAESTRO PIZZA  RIYADH SA,Maestro Pizza,Food & Dining,92.47,debit,SAR
TXN-1154,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-22 12:11,2025-08-22,NETFLIX  RIYADH SA,Netflix,Entertainment,32.58,debit,SAR
TXN-1158,ACC-SNB-003,Saudi National Bank,Savings,2025-08-23 23:16,2025-08-23,CARREFOUR  RIYADH SA,Carrefour,Groceries,383.88,debit,SAR
TXN-1155,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-24 07:55,2025-08-24,AMC CINEMAS  RIYADH SA,AMC Cinemas,Entertainment,110.73,debit,SAR
TXN-1156,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-24 09:48,2025-08-24,SAUDI ELECTRICITY CO  RIYADH SA,Saudi Electricity Co,Utilities,405.23,debit,SAR
TXN-1157,ACC-ALINMA-001,Alinma Bank,Current,2025-08-24 12:35,2025-08-24,KUDU  RIYADH SA,Kudu,Food & Dining,52.73,debit,SAR
TXN-1160,ACC-ALINMA-001,Alinma Bank,Current,2025-08-25 04:47,2025-08-25,MAESTRO PIZZA  RIYADH SA,Maestro Pizza,Food & Dining,74.12,debit,SAR
TXN-1159,ACC-ALINMA-001,Alinma Bank,Current,2025-08-25 11:11,2025-08-25,MAESTRO PIZZA  RIYADH SA,Maestro Pizza,Food & Dining,94.36,debit,SAR
TXN-1162,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-26 02:15,2025-08-26,IKEA  RIYADH SA,IKEA,Shopping,462.73,debit,SAR
TXN-1161,ACC-SNB-003,Saudi National Bank,Savings,2025-08-26 05:23,2025-08-26,EXTRA STORES  RIYADH SA,Extra Stores,Shopping,581.92,debit,SAR
TXN-1163,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-08-26 23:25,2025-08-26,SPOTIFY  RIYADH SA,Spotify,Entertainment,14.51,debit,SAR
TXN-1002,ACC-ALINMA-001,Alinma Bank,Current,2025-08-27 14:00,2025-08-27,SALARY CREDIT  RIYADH SA,Salary Credit,Income,11976.4,credit,SAR
